date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-09-02 00:00:00,22.383333333333336,20.733333333333338,24.033333333333335,29.3,0.0,140.0,11.091666666666669,,1019.4208333333332,
2019-09-03 00:00:00,23.2625,18.8125,27.7125,1.0,0.0,10.0,11.783333333333331,,1016.1125,
2019-09-04 00:00:00,24.45,18.299999999999997,30.6,0.0,0.0,170.0,14.158333333333331,,1014.1708333333332,
2019-09-05 00:00:00,22.304166666666664,17.004166666666663,27.604166666666664,0.0,0.0,20.0,15.433333333333332,,1016.8708333333334,
2019-09-06 00:00:00,18.425,15.675,21.175,7.9,0.0,20.0,16.525000000000002,,1013.7458333333334,
2019-09-07 00:00:00,18.879166666666663,13.029166666666663,24.729166666666664,0.3,0.0,350.0,22.1375,,1008.7375,
2019-09-08 00:00:00,21.1625,15.312500000000002,27.012500000000003,0.0,0.0,270.0,11.0125,,1015.2291666666666,
2019-09-09 00:00:00,21.883333333333336,17.983333333333334,25.78333333333334,0.0,0.0,20.0,13.279166666666669,,1022.0833333333334,
2019-09-10 00:00:00,22.3,20.1,24.5,0.0,0.0,140.0,8.816666666666666,,1026.0541666666666,
2019-09-11 00:00:00,24.79583333333333,18.69583333333333,30.895833333333332,0.0,0.0,230.0,17.9875,,1021.6916666666666,
2019-09-12 00:00:00,25.67083333333333,21.22083333333333,30.12083333333333,0.0,0.0,230.0,16.1625,,1017.1875,
2019-09-13 00:00:00,18.216666666666665,14.316666666666666,22.116666666666664,1.1,0.0,20.0,19.7375,,1028.4125,
2019-09-14 00:00:00,20.9625,17.9125,24.012499999999996,0.0,0.0,170.0,12.691666666666668,,1026.4125,
2019-09-15 00:00:00,24.125,19.975,28.275,0.0,0.0,30.0,11.375,,1020.5375,
2019-09-16 00:00:00,23.08333333333333,20.283333333333328,25.88333333333333,0.0,0.0,260.0,7.483333333333333,,1017.4708333333332,
2019-09-17 00:00:00,21.34166666666667,16.64166666666667,26.041666666666668,0.0,0.0,10.0,13.483333333333334,,1019.0041666666666,
2019-09-18 00:00:00,17.820833333333333,13.920833333333334,21.72083333333333,0.0,0.0,20.0,14.9375,,1022.5333333333332,
2019-09-19 00:00:00,16.1125,9.9625,22.262500000000003,0.0,0.0,20.0,11.633333333333333,,1026.6416666666669,
2019-09-20 00:00:00,17.845833333333335,9.795833333333334,25.895833333333336,0.0,0.0,230.0,11.791666666666666,,1024.0375,
2019-09-21 00:00:00,21.570833333333336,13.820833333333336,29.320833333333336,0.0,0.0,0.0,7.633333333333333,,1022.3083333333334,
2019-09-22 00:00:00,23.14583333333333,15.645833333333329,30.64583333333333,0.0,0.0,180.0,9.3,,1020.3083333333334,
2019-09-23 00:00:00,26.325,20.475,32.175,0.0,0.0,220.0,16.962500000000002,,1012.5625,
2019-09-24 00:00:00,23.383333333333336,17.233333333333334,29.53333333333334,1.3,0.0,270.0,20.004166666666663,,1008.3791666666666,
2019-09-25 00:00:00,20.591666666666665,14.741666666666665,26.441666666666663,0.0,0.0,290.0,12.208333333333334,,1011.5375,
2019-09-26 00:00:00,20.8125,13.9125,27.7125,0.0,0.0,210.0,13.55,,1009.6,
2019-09-27 00:00:00,19.383333333333333,14.083333333333332,24.683333333333334,0.0,0.0,0.0,9.066666666666666,,1017.3166666666666,
2019-09-28 00:00:00,21.825,14.875,28.775,0.0,0.0,200.0,12.775,,1019.15,
2019-09-29 00:00:00,24.39583333333333,21.64583333333333,27.14583333333333,0.0,0.0,20.0,15.404166666666669,,1021.1916666666666,
2019-09-30 00:00:00,18.55,16.35,20.75,0.0,0.0,20.0,16.587500000000002,,1025.725,
2019-10-01 00:00:00,21.29583333333333,15.445833333333331,27.14583333333333,0.0,0.0,190.0,15.025,,1019.6333333333332,
2019-10-02 00:00:00,26.616666666666664,19.96666666666666,33.266666666666666,13.7,0.0,220.0,21.5375,,1010.2125,
2019-10-03 00:00:00,15.545833333333334,9.995833333333335,21.09583333333333,8.1,0.0,20.0,18.9875,,1017.2666666666668,
2019-10-04 00:00:00,15.941666666666668,13.19166666666667,18.691666666666666,5.6,0.0,320.0,19.883333333333333,,1016.5916666666668,
